SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
11,Dayton,A10,36,27,108,96.6,0.797,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.2,0.93,R32,2015
NA,South Carolina,SEC,32,16,106,94.4,0.795,45.2,44.8,19.6,21,34.6,31.5,37.3,44.5,45.2,43.2,30.1,31.7,64.3,-3.7,NA,2015
NA,Illinois,B10,33,19,108,96.7,0.795,47.6,48,15.2,19.7,30.2,28,31.2,30.4,44.4,47.3,35.5,32.9,65,-0.7,NA,2015
12,Stephen F. Austin,Slnd,31,26,113,100,0.794,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,65.7,1.53,R64,2015
NA,Temple,Amer,37,26,106,94.4,0.793,44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,43.4,43.3,30.4,31.4,65.3,-0.3,NA,2015
NA,Richmond,A10,35,21,108,96.7,0.79,52.1,46,15.6,21.1,22.2,33.4,32.9,33.5,52.8,46.2,34,30.3,61.5,-3.4,NA,2015
NA,Texas A&M,SEC,33,21,109,97.6,0.789,50.5,46.9,19.2,19.4,34.1,28.1,38.1,36.4,49.6,47.1,35.1,31,63.6,-0.4,NA,2015
11,Mississippi,SEC,34,21,113,101,0.787,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,65.9,-0.6,R64,2015
NA,Illinois St.,MVC,34,21,108,96.5,0.787,48.4,47,19.9,20.5,36.2,29.3,34.8,40.3,46.8,45.9,34.4,32.8,64.8,-2.6,NA,2015
NA,Saint Mary's,WCC,30,20,111,99.8,0.786,52.4,48,18.8,15.4,33.2,24.7,34.1,33.2,50.6,47.2,37.1,33.1,62.6,-0.7,NA,2015
NA,Murray St.,OVC,33,27,116,104,0.78,54.3,46.8,17.1,18.7,35.9,32.5,41.2,36.6,52.6,44.9,38.3,33.7,66.4,0.34,NA,2015
14,Georgia St.,SB,34,24,111,100,0.779,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,62.5,-2.6,R32,2015
NA,Rhode Island,A10,32,22,103,93.1,0.779,48.9,43.9,20.8,21.8,32.3,29.2,47.3,46,50.1,45,30.5,27.3,65.3,-1,NA,2015
NA,Colorado St.,MWC,33,26,111,100,0.776,50.1,48.7,16.1,18,34.1,25.4,41.9,33.3,49,45.7,34.8,36.2,66.5,1.53,NA,2015
NA,Alabama,SEC,33,18,111,100,0.774,50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,52.3,46.5,32.2,32.6,62.1,-1.8,NA,2015
NA,Clemson,ACC,31,16,105,95.2,0.772,46,45.6,18.6,17.7,34.1,31.4,34.4,31.2,46.5,43.9,29.9,32.8,61.6,-3.1,NA,2015
12,Buffalo,MAC,33,23,111,99.8,0.772,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48,34.1,33,68.3,-1,R64,2015
NA,George Washington,A10,35,22,109,98.3,0.767,48.9,45.9,18.7,18.3,35.5,30.9,39.9,28.9,47.3,44.9,35.2,31.9,62,-2.2,NA,2015
13,Valparaiso,Horz,31,25,107,96.5,0.766,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,48,42.3,38.4,33.4,62.5,0.44,R64,2015
NA,Old Dominion,CUSA,35,27,106,96.2,0.76,48.6,46.1,17.5,21,36,26.9,30.6,40.8,48.4,45.7,32.5,31.2,59.9,-1,NA,2015
NA,Pittsburgh,ACC,33,18,114,103,0.756,49.1,50,15.7,17.4,34.3,31.6,34.8,37.8,48.6,49,33.6,34.9,60.3,-1.6,NA,2015
NA,Arizona St.,P12,34,18,109,99.3,0.752,50.9,50.2,20.7,19.1,31.8,25.1,42.1,34.1,49.9,48.6,35,36.2,65.7,-3.8,NA,2015
NA,Green Bay,Horz,31,22,104,95.2,0.745,49.3,46,18.5,20.8,33.3,29.4,39.3,39.8,51.8,44,28.3,33.7,64.8,-0.9,NA,2015
NA,Penn St.,B10,34,18,105,96.3,0.744,48,45.3,18.2,17.8,29.7,31,34.7,41.5,46.8,43.6,33.4,32.6,65.3,-3.6,NA,2015
NA,Memphis,Amer,32,18,106,97.2,0.743,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66,-5.2,NA,2015
NA,Creighton,BE,33,14,111,102,0.728,49.4,50.5,18.4,17.1,31.3,28.1,36.3,33.4,47.6,46.9,34.6,38,62.4,-5.9,NA,2015
NA,Boston College,ACC,32,13,110,101,0.724,50.8,49.4,18.8,18.8,26,30.9,35,40.8,52.1,49,32.4,33.5,63.3,-6,NA,2015
NA,Georgia Tech,ACC,31,12,103,95.3,0.724,44.4,49.2,19.6,18,38.7,25.8,31.1,33.8,46.1,49.9,26.7,31.9,63.6,-6.2,NA,2015
NA,Seton Hall,BE,31,16,109,100,0.719,48.2,47.7,18.7,18,34.7,33.2,38.1,38,46,49,35,30,65.6,-2.4,NA,2015
13,UC Irvine,BW,32,19,107,98.9,0.711,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.3,-4.3,R64,2015
NA,Tulsa,Amer,33,23,102,94.8,0.709,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,63.7,-0.2,NA,2015
NA,Marquette,BE,32,13,105,98,0.704,49.8,49.2,19.3,21,29,36.4,35.8,30.3,48.8,46.4,34.4,36,63.6,-4.9,NA,2015
NA,Connecticut,Amer,35,20,107,99.4,0.703,50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,48.4,42.8,35.4,33.2,61.9,-3.2,NA,2015
NA,Sam Houston St.,Slnd,31,22,103,96.3,0.702,47.6,45.1,19.7,20.4,36,27.3,46.3,41.1,47.3,43.9,32.1,32.2,64.3,-3.2,NA,2015
NA,Louisiana Tech,CUSA,35,26,107,100,0.702,50.7,46.9,15.6,22.4,29,35.4,33.7,31.3,51.4,45.5,32.9,33.6,67.1,-1.4,NA,2015
13,Harvard,Ivy,28,20,104,96.9,0.701,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61,-1.1,R64,2015
NA,Kansas St.,B12,32,15,106,98.6,0.701,47.8,49.7,20.9,20.2,34,31.4,46,41,46.9,49.5,33.5,33.5,62.1,-2.8,NA,2015
NA,Central Michigan,MAC,29,20,115,107,0.698,54.5,51.7,15.1,19.7,28.8,30.9,36.6,36.2,53.7,51.7,36.9,34.4,63.9,-2.3,NA,2015
NA,Toledo,MAC,33,20,113,105,0.694,52.3,49.7,18.1,16.2,33.3,29.4,41.2,31,51.2,51,36.6,31.7,66.5,-4.7,NA,2015
NA,Florida St.,ACC,33,17,105,98.6,0.687,50.1,47.3,21.9,18,31.8,31.9,46.9,37.9,51.4,46.5,31.3,32.5,66,-3.4,NA,2015
NA,Yale,Ivy,30,20,106,99.1,0.686,49.9,47.6,20.4,19,34.2,27.8,40.9,33.1,47.3,48.1,36.5,31,61.9,-2.7,NA,2015
NA,Oregon St.,P12,30,16,100,93.5,0.686,46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,46,44.4,32,30,60.2,-4,NA,2015
NA,UNLV,MWC,32,17,108,101,0.685,50.2,45.3,17.3,16.2,26.7,32.4,32.7,29.9,48,42,36.1,35.1,65.1,-5.3,NA,2015
NA,UTEP,CUSA,33,22,106,99.8,0.684,52,46.9,18.8,18.7,29.1,29.8,43.8,31.9,50.9,45.2,36.6,33.6,64.4,-3.5,NA,2015
NA,UC Santa Barbara,BW,31,17,110,103,0.678,49.6,47.8,16.9,17.9,30.7,29.8,32,39.9,46.6,45.2,37,35.4,62.3,-5,NA,2015
NA,Colorado,P12,34,16,107,101,0.673,48.4,48.9,19.9,16.9,34.4,27.9,40.8,33.9,47.7,46.5,33.5,35.3,64.5,-5.6,NA,2015
NA,South Dakota St.,Sum,33,22,108,102,0.672,51.9,47.2,16.9,18.1,28.8,28.2,40.4,41.2,48.6,45,38.1,34.7,65.8,-4.4,NA,2015
NA,Akron,MAC,34,20,105,99,0.672,49.4,45.5,18.8,18.8,33.3,31.5,31.3,41,46.7,43.8,34.9,33,63.4,-6.7,NA,2015
NA,San Diego,WCC,30,14,103,97.6,0.669,48,47.9,18.4,21.3,30,31.6,38.4,42,46,46.9,34.5,33.7,62.9,-6.3,NA,2015
NA,Hawaii,BW,33,20,106,100,0.663,49.3,47.6,18.7,23.4,32.2,34.4,36.7,42,49.3,45.2,32.8,34.8,69,-6,NA,2015
15,New Mexico St.,WAC,32,21,106,100,0.663,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,63.4,-4.3,R64,2015
NA,La Salle,A10,33,17,100,95.1,0.662,46.7,45.8,19.9,20.1,29.6,30.8,36.4,34.4,46.1,45.1,32.1,31.6,64.2,-6.1,NA,2015
12,Wofford,SC,33,26,104,98.8,0.661,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,60.6,0.54,R64,2015
14,Northeastern,CAA,35,23,109,102,0.66,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,63,-4.2,R64,2015
NA,Wake Forest,ACC,32,13,106,100,0.66,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.1,-5.8,NA,2015
NA,Tennessee,SEC,32,16,109,103,0.651,48.2,51.9,19.7,22.6,37,33.3,32.3,43.5,47.4,49.1,33.1,37.1,60.2,-3.4,NA,2015
NA,California,P12,33,18,104,99.2,0.641,48.9,46.8,16.6,14.3,26,25.1,30.3,38.8,47,45.6,35.9,33.4,65.5,-3.4,NA,2015
NA,Iona,MAAC,35,26,113,107,0.638,54.7,48.1,17.2,16.7,28.7,33.2,37.4,28.5,51.3,45.7,39.6,35.5,69.8,-1.8,NA,2015
NA,Cleveland St.,Horz,32,17,107,102,0.636,51.7,48.8,19,21,31.9,30.6,31.1,43.7,48.9,45.6,37.9,36.2,60.8,-6.6,NA,2015
NA,Nebraska,B10,31,13,100,95.6,0.634,46.2,46.8,19.4,20.6,26.7,30.3,36.5,38.5,48,44.7,28.4,33.4,63,-5.4,NA,2015
NA,North Carolina Central,MEAC,30,22,104,100,0.628,53.2,42.1,19.8,20.2,31,30.8,37.2,41.1,53.1,41.3,35.6,29.1,59.3,-2.2,NA,2015
NA,UC Davis,BW,30,23,111,106,0.624,57.3,48.4,20.9,17.9,28.6,33.7,39.3,33.3,51.7,46.5,44.1,34.6,62.5,-0.7,NA,2015
NA,Evansville,MVC,35,23,106,101,0.624,52.1,49.4,19.3,19.9,25.8,28,44.3,31.4,51.8,47.5,35.4,35.5,65.8,-4.5,NA,2015
NA,Washington,P12,31,16,108,104,0.623,49.3,47.1,17.5,16.8,31.4,33.2,33.9,31.7,48.9,46,33.4,33,65.4,-4.6,NA,2015
NA,Portland,WCC,31,15,109,105,0.622,50,49.7,18.3,17.2,35,30.7,36.1,35.9,46.9,49,37.8,34.1,63.9,-6.1,NA,2015
NA,Hofstra,CAA,34,20,110,106,0.619,52.3,49.5,16,19.6,32.7,28.4,39.8,38.7,50.9,48.8,36.2,33.9,68.8,-8,NA,2015
12,Wyoming,MWC,33,23,104,100,0.617,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,58.6,-1.3,R64,2015
NA,San Francisco,WCC,31,13,106,101,0.614,50.7,49.2,17.9,18.9,30.5,30.8,41,38.7,50.7,46.9,33.7,35.5,65.5,-9,NA,2015
NA,Bowling Green,MAC,32,21,106,102,0.614,49.3,47.2,18.4,19.5,31.6,29.5,32.4,32.2,48.6,46.1,33.8,32.6,63.2,-3.9,NA,2015
NA,William & Mary,CAA,31,18,113,108,0.612,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,63.8,-5.2,NA,2015
NA,Northwestern,B10,32,15,107,103,0.611,50.4,48.4,18.1,15.5,27.6,30.9,28.6,32.8,48.3,43.8,35.9,37.7,60,-4.2,NA,2015
NA,Utah St.,MWC,30,17,107,103,0.609,52.4,45.8,16.3,17,21.7,34,36.4,29.1,48.5,46.3,39.4,29.9,63.5,-5.9,NA,2015
NA,Kent St.,MAC,34,22,107,103,0.609,49.8,45.8,17.8,18.2,33.6,32.7,37.1,39.5,46.7,44.8,36.6,32.1,61.4,-4.4,NA,2015
NA,Louisiana Lafayette,SB,33,19,106,102,0.605,50.1,48,20.5,18.4,34.6,27.6,39.6,37.4,49.2,47.8,34.7,32.3,69.8,-7.9,NA,2015
NA,St. Bonaventure,A10,31,18,104,100,0.603,47.1,48.4,18.9,19.7,35,29,37.9,33.9,47.1,45.3,31.4,36.2,64.4,-5.2,NA,2015
NA,Pepperdine,WCC,31,17,99.8,96.5,0.597,46.9,45.6,19.3,19.1,28.7,32.8,37,33.8,46.6,47.7,31.8,27.3,63.5,-3.7,NA,2015
NA,Vermont,AE,33,19,102,99.5,0.595,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.1,-8.7,NA,2015
NA,Massachusetts,A10,32,17,106,102,0.593,47.3,48.7,20.5,17.5,34,31.3,42.4,35.2,48.4,47.1,29.6,35,67.1,-4.8,NA,2015
NA,Auburn,SEC,34,14,106,103,0.581,46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,43.4,53.8,35,33.3,67.3,-7,NA,2015
14,Albany,AE,33,24,107,104,0.581,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,60.7,-3,R64,2015
NA,Long Beach St.,BW,31,14,103,100,0.58,47.6,49.2,20.2,21,31.5,34,34.4,36.9,46.3,49,33.2,33,65,-5.5,NA,2015
13,Eastern Washington,BSky,32,23,112,109,0.574,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,67.9,-2.3,R64,2015
NA,Loyola Chicago,MVC,35,22,105,103,0.573,53.3,49.2,21,20.2,28.7,32.1,33.3,30.2,50.6,50.1,39.3,31.8,60.7,-4.5,NA,2015
NA,DePaul,BE,32,12,108,106,0.572,50.7,50.8,19.8,18.8,27.4,35.5,36.5,48.7,49.2,52.7,35.2,31.2,67.1,-7.4,NA,2015
14,UAB,CUSA,35,19,104,102,0.567,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,64.7,-7.2,R32,2015
NA,Stony Brook,AE,33,21,102,100,0.562,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,63.9,-4.5,NA,2015
NA,Eastern Michigan,MAC,31,17,101,99.7,0.562,46.9,46.2,17.8,21.5,30.2,33.7,41.5,42.5,46.7,44,31.4,33.1,65.7,-6.1,NA,2015
NA,New Mexico,MWC,31,15,101,98.8,0.562,47.9,46.7,20.2,18.6,33.3,26.1,38.4,32.8,48.6,46.4,30.8,31.4,62.2,-8,NA,2015
15,Belmont,OVC,32,21,110,108,0.56,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67,-4.4,R64,2015
NA,Texas Tech,B12,32,13,102,100,0.556,45.7,49.2,21.8,20.1,34.6,32.6,46.1,36.5,44.5,48.2,32.3,33.9,61.8,-6.4,NA,2015
16,Coastal Carolina,BSth,30,20,106,104,0.554,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,63.5,-4.8,R64,2015
NA,Mississippi St.,SEC,31,12,101,99.3,0.553,47.5,48,23.3,18.9,32.3,31.1,46.4,36.5,47.9,47,31.1,33.2,63.5,-9.1,NA,2015
NA,Eastern Kentucky,OVC,31,19,105,103,0.549,53.9,53.5,17.9,26.9,21.6,34.8,32.2,35,54.9,49.9,35.1,39.2,63.4,-5.3,NA,2015
NA,Morehead St.,OVC,32,15,104,102,0.549,49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,48.4,48.4,34,33.7,65.1,-10,NA,2015
NA,Cal Poly,BW,27,11,103,102,0.535,44.1,49.3,14.8,17.3,31.9,28.2,31.5,31.3,42.5,47.3,31.6,35.6,58.6,-8.8,NA,2015
16,Manhattan,MAAC,33,19,102,101,0.529,49.4,48.1,21.1,23.9,30.9,33.1,47.4,52.3,48.8,48,33.6,32.4,67.4,-7.4,R68,2015
NA,Princeton,Ivy,29,15,107,106,0.528,54.3,49.6,18.8,18.5,20.7,26.4,46.1,41.8,53,47.2,37.3,36.9,64.6,-8.7,NA,2015
NA,Mercer,SC,33,17,105,104,0.525,49.3,48.9,17.6,19.2,33.3,32.8,40.2,31.9,48.3,46.3,34.2,35.2,60.5,-9.2,NA,2015
NA,Georgia Southern,SB,28,19,100,99.3,0.525,47.3,46.2,18.3,22,32.6,32.2,36.2,32.7,47.5,45.9,31.4,31.2,63.1,-4.3,NA,2015
NA,UNC Wilmington,CAA,31,17,102,101,0.523,47.5,47.9,18,20.4,31,32.4,37.5,47.4,46.3,46.9,34,33.5,67.3,-6.5,NA,2015
NA,Canisius,MAAC,33,18,103,102,0.521,46.6,46.9,18.4,21.5,34,32.3,32,40.7,46.1,46.1,31.8,32.2,63.2,-8.9,NA,2015
NA,USC,P12,32,12,100,100,0.52,46.8,48,20,19.1,31.5,34.3,33.8,31.2,45.8,47.2,32.9,32.9,68,-8.9,NA,2015
NA,Columbia,Ivy,27,12,108,107,0.52,51.6,47.9,19.4,16.2,32,29.2,28.2,38.2,49.7,47.2,35.9,33.1,59.9,-9.5,NA,2015
NA,Saint Joseph's,A10,31,13,100,99.3,0.519,45.3,48.3,19.2,19,31.5,30.4,35.2,31.3,45.5,46.3,29.9,34.8,63.4,-9.4,NA,2015
16,North Florida,ASun,32,20,107,106,0.515,53.6,47.9,18.3,17.9,29.2,31.8,39.7,34.1,51.1,48.3,38.1,31.3,66.8,-4.9,R68,2015
NA,Western Michigan,MAC,32,18,107,107,0.513,51.3,51.9,18.1,18.9,29.8,30.4,42.7,36.7,49.9,51.1,35.9,35.4,64.8,-5.7,NA,2015
NA,Montana,BSky,31,18,106,106,0.512,53.7,51.3,18,19.9,27.6,28.7,33.3,43.6,52.9,49.4,36.6,36.1,61.9,-6.8,NA,2015
NA,Quinnipiac,MAAC,30,15,103,102,0.511,44,45.2,20.4,14,42.1,26.5,35.5,33.4,43.1,41.9,30.7,35.1,66.1,-10,NA,2015
NA,Santa Clara,WCC,30,12,106,106,0.51,48.2,51.7,17.1,19.1,28.1,34.1,31.1,43.2,46,49.2,34.6,37.7,61,-8.7,NA,2015
15,North Dakota St.,Sum,31,21,102,102,0.507,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,60.8,-3.7,R64,2015
NA,Middle Tennessee,CUSA,35,18,102,102,0.507,47.9,49.9,20.3,20.3,31.6,26.1,36.8,42.2,44.2,48,36.3,35.7,60.8,-8.5,NA,2015
NA,Virginia Tech,ACC,33,11,107,107,0.504,51.5,50.8,18.1,18.9,26,36.6,31.9,33.8,47.7,49.6,38.9,35.1,63.6,-9,NA,2015
NA,Louisiana Monroe,SB,34,20,100,100,0.502,45.6,44.7,18,17.2,32.6,29.4,26.1,29.7,46,44.3,29.9,30.2,61.4,-6.7,NA,2015
NA,Rider,MAAC,33,21,100,100,0.498,49.4,47.5,19.2,21.6,31.1,29.6,35.6,37.7,49,46.6,33.4,32.7,64,-5.2,NA,2015
NA,Charlotte,CUSA,32,14,108,108,0.495,51.7,50.6,19.6,18.4,33.7,31.3,36.9,33.1,49.8,48.3,37.6,36.5,66.8,-9.9,NA,2015
NA,High Point,BSth,30,20,106,106,0.495,51.9,51.3,17.5,19.8,30.6,31.5,34.1,31.5,49.3,49.8,38.6,35.8,62.2,-3.7,NA,2015
NA,Tennessee Martin,OVC,32,19,108,108,0.494,53.4,50.8,18.6,15.4,30,25.8,31.4,28.8,50,49.4,39.4,35.4,61.9,-6.5,NA,2015
NA,Indiana St.,MVC,30,14,102,102,0.492,49.4,48.6,20.9,20.8,26.4,31.7,42.3,37.6,46.6,44.7,35.7,38.6,66.7,-8.1,NA,2015
NA,Western Kentucky,CUSA,30,18,103,103,0.492,49.6,48.6,18.9,18.9,30.4,29.2,38.7,34.1,47.2,48.1,35.6,33.1,66.2,-5.3,NA,2015
NA,Washington St.,P12,31,13,109,109,0.491,49.6,52.4,17.3,14.1,26.4,30.3,39.7,34.1,48.7,50.8,34.2,37.4,67.2,-6.8,NA,2015
NA,Oakland,Horz,31,14,110,111,0.488,52.3,53.5,18.4,16.1,30.1,30.5,38.1,34.6,51.7,52.8,35.5,36.5,66.4,-7,NA,2015
NA,Winthrop,BSth,29,16,105,105,0.485,50.8,47,17.7,19,29.4,32.3,35.9,38.4,49.2,45.9,35.5,32.7,65.6,-8.7,NA,2015
NA,Chattanooga,SC,30,20,104,105,0.482,50.5,48,19.4,18.7,32.5,32.7,43.8,43.2,49.9,46.3,34.4,35,64.7,-4.6,NA,2015
NA,USC Upstate,ASun,32,20,104,104,0.48,49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,49.2,46.6,33.2,31.9,63,-6.6,NA,2015
NA,NJIT,Ind,29,17,105,106,0.471,52.3,46.4,20.5,19,28.8,33.8,39,44.1,49.8,44.6,37.1,33.1,66.5,-6.1,NA,2015
NA,Northern Arizona,BSky,37,22,102,103,0.467,46.1,48.6,17.7,16.7,35.3,26.8,36.4,38.4,42.9,49.1,34.8,31.7,64.6,-8.3,NA,2015
NA,Radford,BSth,31,19,104,106,0.462,50,48.4,18.1,18.8,34.5,32.7,35.4,36.3,50.5,47.8,32.6,33.4,64.6,-6.1,NA,2015
NA,Colgate,Pat,32,15,107,109,0.462,56,50.7,18.8,16.5,23.7,28.4,27.4,35.1,53.8,47.8,39.5,37.8,60.6,-11,NA,2015
NA,Houston,Amer,32,13,102,104,0.46,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,64,-11,NA,2015
NA,Lehigh,Pat,29,15,100,102,0.457,49,46.8,19.9,17.4,29.2,30.4,36.2,31.2,47.8,44,34.8,33.9,66.3,-9.1,NA,2015
NA,St. Francis NY,NEC,34,22,102,104,0.451,46.3,47.4,19.8,20.2,39.6,28.8,40.9,40.2,47.5,44.7,29.1,36.7,64.4,-6.9,NA,2015
NA,Rutgers,B10,32,10,98.2,100,0.441,43.6,49.8,20.1,18.1,30.5,31.4,32.6,32,43.3,49.3,29.5,33.7,64.8,-8.8,NA,2015
16,Robert Morris,NEC,35,20,102,105,0.439,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,47.4,48.3,37.5,34.1,65.4,-8.3,R64,2015
NA,Fordham,A10,30,9,102,104,0.439,46.7,50.2,22.2,18.7,33.4,29.5,33.1,41.7,47.8,49.6,29.8,34.1,65.3,-12,NA,2015
NA,UT Arlington,SB,30,15,103,105,0.438,49.4,47.8,20.8,19.6,31.8,32.8,38.1,42.2,50.8,47.8,31.3,31.8,69.5,-8.7,NA,2015
NA,Monmouth,MAAC,33,18,100,102,0.438,47.9,47.2,19.9,21.4,30,33.6,41,37.2,46.7,44.3,33.8,34.2,63.3,-8.7,NA,2015
NA,Florida Gulf Coast,ASun,30,19,101,103,0.434,48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,47,45.8,33.9,29.6,64.2,-4.9,NA,2015
NA,New Hampshire,AE,30,17,100,102,0.433,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,45.9,45.6,37.4,31.1,63.6,-7.8,NA,2015
NA,Detroit,Horz,31,13,103,105,0.43,49.7,52,19.3,21.2,29.4,29.8,32.4,48.3,46.3,53,37.9,33.7,67.3,-10,NA,2015
NA,Southern Illinois,MVC,32,11,99.9,102,0.428,45.7,51.4,20.8,21.3,31.4,26.2,41,40.8,44.3,48.2,33.3,38.1,62.2,-1,NA,2015
NA,George Mason,A10,30,8,103,106,0.424,45.5,50,21.9,18.5,35.9,30.4,41.1,44.7,44.9,48.4,31.6,35.3,64.4,-12,NA,2015
NA,Missouri,SEC,31,8,100,103,0.421,45.8,49.3,20.2,17.2,29.4,33.3,32.5,43.9,44.2,48,32.5,34.4,62,-1,NA,2015
NA,Milwaukee,Horz,28,12,102,105,0.419,49,51.2,20,16.5,26.9,29.5,36.2,31.6,48.6,48.6,33.2,38.6,64.4,-8.8,NA,2015
NA,Oral Roberts,Sum,32,17,106,109,0.418,48.1,51,17.6,18.6,29.5,31.3,44.5,37.8,45.6,48.8,35.8,37.5,65.2,-8.1,NA,2015
NA,IPFW,Sum,28,13,106,109,0.418,53.3,51.3,18.7,16,25.1,26.6,41.1,27.7,52.6,49.9,36.3,36,64.4,-9,NA,2015
NA,East Tennessee St.,SC,28,14,103,106,0.417,49.8,51.3,18.7,21.4,29.6,33,39.8,42.3,45.5,49.5,36.7,35.8,67.3,-8.7,NA,2015
NA,Northern Illinois,MAC,29,13,102,105,0.416,47.6,51.8,21.7,21.4,36.4,31.1,47.1,40.9,47.2,52.5,32.2,33.9,62.2,-8.8,NA,2015
NA,Dartmouth,Ivy,29,14,101,104,0.414,49.2,49.9,20.3,21.2,30.9,28.5,35.7,42.7,47.9,47.8,34.6,35.4,63,-8.8,NA,2015
NA,Saint Peter's,MAAC,34,16,99.5,102,0.413,46.9,45.2,19.5,20.9,31.4,30.5,44,45.8,44.6,44.3,34.3,31.2,60.1,-12,NA,2015
NA,Charleston Southern,BSth,28,16,105,109,0.412,48.5,52.4,17.2,18.9,33.4,28.5,34.9,32.4,46.7,50.5,33.7,36.7,65.1,-5.9,NA,2015
NA,Fresno St.,MWC,30,13,102,106,0.412,47.1,49.4,17.2,20.3,25.9,32.7,38.8,44.3,47.2,48,31.3,34.8,64.7,-9.2,NA,2015
NA,Texas A&M Corpus Chris,Slnd,32,18,101,104,0.409,49.2,48.3,19.4,20.6,30.3,33.1,51,46.1,48.7,48.3,33.5,32.2,62.4,-8.5,NA,2015
NA,Rice,CUSA,29,10,102,105,0.409,51.7,49.9,22.1,19.6,26.5,32.2,33.7,40.1,47.6,49,37.3,34.5,61.7,-12,NA,2015
NA,Denver,Sum,30,12,105,109,0.406,56.2,52.9,19.1,20.4,19.3,29.6,31.2,51.2,55.5,51.7,38,37.1,57.2,-12,NA,2015
NA,St. Francis PA,NEC,31,15,100,103,0.405,50.1,49.5,19.4,20.6,25.7,31.4,34.6,30.1,50.3,50,33.1,32.4,62.5,-1,NA,2015
NA,American,Pat,33,17,101,105,0.404,53.4,51,19.4,21.8,21.3,31.6,34.4,33,51.8,50.9,37.4,34.2,56.6,-9.7,NA,2015
NA,Southeast Missouri St.,OVC,28,11,103,107,0.4,48.9,50.2,19.2,19.3,32.2,31.6,36.4,41.8,48.1,46.2,33.7,39.2,65.6,-1,NA,2015
NA,Bucknell,Pat,33,18,105,109,0.398,49.7,49.9,17.1,14.5,29.6,25.9,40.3,38.4,46.2,47.7,38.1,36.6,64.2,-8.1,NA,2015
16,Lafayette,Pat,32,19,112,116,0.397,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38,64.5,-6.8,R64,2015
NA,Western Carolina,SC,30,13,102,106,0.395,48.8,50.1,20.1,20.7,34.7,33.9,34.6,52.5,47.2,48.6,34.8,34.9,65.6,-10,NA,2015
NA,Gardner Webb,BSth,31,16,107,111,0.391,51,53.4,17.4,17.1,29.8,31.8,37.7,29.1,50.4,51.9,34.6,37.8,67.4,-7.5,NA,2015
