SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
NA,Missouri,B12,32,16,111,97.2,0.827,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,72.5,-2.7,NA,2008
NA,Mississippi,SEC,35,24,113,98.8,0.824,52,49.5,18.6,19.6,39.1,31.1,30,34.3,50.4,48.2,36.7,34.4,71.3,0.14,NA,2008
NA,Georgia Tech,ACC,32,15,113,99,0.823,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,51.5,51.5,37.2,33.8,70.5,-2.3,NA,2008
NA,Florida St.,ACC,34,19,107,93.9,0.821,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,49.2,48,35.2,34.6,67.5,-0.4,NA,2008
4,Vanderbilt,SEC,34,26,111,97.8,0.817,54.1,49.7,19.8,20.5,31,33.5,38.3,32,50.6,48.3,39.9,35,70.4,3.82,R64,2008
NA,Arizona St.,P10,34,21,108,95.1,0.816,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,54.1,45.3,35.5,35.1,62.6,0.84,NA,2008
NA,Maryland,ACC,34,19,107,94.2,0.813,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,50.9,42.6,33.8,32.4,71.1,-2.2,NA,2008
NA,Massachusetts,A10,36,25,109,96.1,0.812,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,76.2,-0.8,NA,2008
NA,Illinois St.,MVC,34,24,104,92.4,0.806,52.2,46.3,20,22.2,31.2,31.2,33.9,35.5,50.1,45.2,37.1,32.2,64.5,0.64,NA,2008
NA,Southern Illinois,MVC,33,18,104,91.9,0.806,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,47,47.3,34,34.7,62.8,-3.2,NA,2008
9,Kent St.,MAC,35,28,105,93.7,0.804,52.5,46.6,21.8,24.2,35.7,35.6,41.1,37.8,50.9,46,37.3,31.7,66.6,2.33,R64,2008
NA,Oklahoma St.,B12,32,16,108,95.6,0.802,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,48.8,48.2,34.1,36.2,66.8,-1.5,NA,2008
NA,Minnesota,B10,34,20,107,95.1,0.801,50.2,48.5,21.6,25.1,36,33.9,35,39.5,47.5,47.4,36.7,33.6,67.2,-1.1,NA,2008
NA,Washington,P10,33,16,108,96.4,0.8,50,51.2,19.8,21.5,40.6,29.9,34.2,39.7,49,48.8,35.1,37.5,70.3,-2.3,NA,2008
NA,California,P10,33,17,115,102,0.795,52.3,51.9,19.4,17.2,34.5,31.8,36.1,33.1,51.6,51.4,35.9,35.1,69.6,-1.3,NA,2008
NA,Wake Forest,ACC,30,17,106,94.4,0.793,48.3,49.1,19.6,23.9,33.9,33.8,34,36.8,49.2,47.1,31.1,35.1,70.7,-1.7,NA,2008
NA,UAB,CUSA,34,23,108,96.8,0.793,52.2,46.8,20.4,19.8,32.2,30.6,39,37.1,49.9,45.1,37.5,33.6,68.9,-1.5,NA,2008
12,Temple,A10,34,21,111,98.9,0.792,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,53.3,46.5,36.9,35.7,65.6,-1.7,R64,2008
